,Rating,Boxer,Country,Weight,Ceiling,Action,Promoter,Trainer,Sex
826,827,"Conroy, Liam",GB,175,1.0,3.0,MTK Global,"Roye, Johnney",Male
827,828,"Cordina, Joe",GB,130,1.0,3.0,Matchroom,"Sims, Tony",Male
828,829,"Cullen, Jack",GB,160,1.0,4.0,VIP,"Jennings, Michael",Male
829,830,"Davies, Kody",GB,175,1.0,3.0,Queensberry,"Rees, Gavin",Male
830,831,"Davies Jr, Robbie",GB,140,1.0,4.0,,"McGuigan, Shane",Male
831,832,"Dawson, Chad",US,175,1.0,3.0,CES,,Male
832,833,"De Carolis, Giovanni",IT,168,1.0,2.0,,"Mattioli, Italo",Male
833,834,"De Vaca, Francisco",US,122,1.0,2.0,,"Robles, Manny",Male
834,835,"Dessaix, Reagan",AU,175,1.0,3.0,,"Dessaix, Clem",Male
835,836,"Dharry, Elton ",GY,115,1.0,3.0,,"Gonzalez, Martin",Male
836,837,"Diaz, Marco",US,126,1.0,3.0,,,Male
837,838,"Dignum, Danny",GB,160,1.0,4.0,Probellum,"Lilley, Kevin",Male
838,839,"Dilmaghani, Alex",GB,130,1.0,4.0,MTK Global,"Wilkins, Lee",Male
839,840,"Egbunike, Daniel",GB,140,1.0,3.0,MTK Global,"Lilley, Kevin",Male
840,841,"Elbiali, Ahmed",EG,175,1.0,3.0,,"Gamber, Justin",Male
841,842,"Elorde, Juan Miguel",PH,122,1.0,3.0,Johnny Elorde,"Laurente, Toto",Male
842,843,"Escudero, Marcos",AR,175,1.0,4.0,Sampson,"Cunningham, Kevin",Male
843,844,"Esparza Jr, Francisco",US,130,1.0,3.0,,"Adams, Bones",Male
844,845,"Espino, Alexis",US,168,1.0,3.0,Matchroom,"Garcia, Robert",Male
845,846,"Esquivel, Jonathan",US,160,1.0,4.0,Sampson,"James, Art",Male
846,847,"Essomba, Thomas ",CM,118,1.0,3.0,BCB,"Johnson, Errol",Male
847,848,"Falcao, Yamaguchi",BR,160,1.0,2.0,,"Zagarino, Patrick",Male
848,849,"Feigenbutz, Vincent",DE,168,1.0,3.0,Wasserman,"Schmitz, Torsten",Male
849,850,"Flanagan, Terry ",GB,140,1.0,3.0,MTK Global,"Maylett, Steve",Male
850,851,"Flores, Miguel",US,130,1.0,3.0,PBC,"Navarro, Aaron",Male
851,852,"Foley, Darragh",IE,140,1.0,3.0,MTK Global,"Bermudez, Hector",Male
852,853,"Fonseca, Francisco",NI,130,1.0,4.0,Bufalo,"Alvarez, Rosendo",Male
853,854,"Ford, Raymond",US,126,1.0,4.0,Matchroom,"Lloyd, Reggie",Male
854,855,"Ford, Ryan ",CA,175,1.0,2.0,,"Thompson, Jesse",Male
855,856,"Foster, Brad",GB,122,1.0,3.0,Queensberry,"Foster, Martin",Male
856,857,"Fox, Alantez",US,160,1.0,3.0,,"Fox, Troy",Male
857,858,"Frenois, Guillaume",FR,130,1.0,2.0,,"Boggia, Giovanni",Male
858,859,"Gamez, Genaro",US,140,1.0,3.0,,"Gamez, Rey",Male
859,860,"Gao, Shichao",CN,126,1.0,3.0,,,Male
860,861,"Garcia, Giovanni",MX,112,1.0,4.0,All Star Boxing,,Male
861,862,"George, Joseph",US,175,1.0,3.0,,"Cooper, James",Male
862,863,"Geraghty, Declan",IE,130,1.0,2.0,MTK Global,"Geraghty, Declan",Male
863,864,"Gevor, Khoren",AM,168,1.0,3.0,,,Male
864,865,"Gonzalez, Jose",US,122,1.0,2.0,Kings,"Gonzalez, Martin",Male
865,866,"Gonzalez, Jousce",US,130,1.0,3.0,Golden Boy,"Gonzalez, Jose",Male
866,867,"Gonzalez, Miguel",CL,115,1.0,3.0,,,Male
867,868,"Gonzalez, Miguel Angel",MX,130,1.0,4.0,,,Male
868,869,"Gonzalez, Orlando",PR,126,1.0,3.0,Top Rank,"Gonzalez, Orlando",Male
869,870,"Grachev, Denis",RU,175,1.0,1.0,,"De Melo, Karine",Male
870,871,"Grandelli, Francesco",IT,126,1.0,2.0,Boxe Loreni,"Grandelli, Antonello",Male
871,872,"Greer Jr, Joshua",US,118,1.0,3.0,,"Koroma, Kay",Male
872,873,"Guajardo, Raymond",US,160,1.0,4.0,,"Guajardo, Eddie",Male
873,874,"Guarneros, Rosendo Hugo",MX,112,1.0,3.0,,"Ortiz, Miguel",Male
874,875,"Gutierrez, Jesus Antonio",MX,160,1.0,3.0,,,Male
875,876,"Haertel, Stefan",DE,168,1.0,2.0,SES,"Kuhne, Stephan",Male
876,877,"Harrison, Dusty Hernandez",US,160,1.0,2.0,Lee Baxter,"Harrison, Buddy",Male
877,878,"Hermosillo, Rigoberto",US,126,1.0,2.0,,"Castro, Javier",Male
878,879,"Hernandez, Luis",MX,140,1.0,3.0,Golden Boy,,Male
879,880,"Hernandez, Marcos",US,168,1.0,3.0,PBC,"Ramirez, Henry",Male
880,881,"Barrientes, Angel",US,122,1.0,3.0,PBC,"Barrientes, Richard",Male
881,882,"Hiraoka, Andy ",JP,140,1.0,3.0,Ohashi,"Codjoe, Justice",Male
882,883,"Hitchins, Richardson",US,140,1.0,3.0,Mayweather,"Wilson, Leonard",Male
883,884,"Horta, Francisco",MX,122,1.0,2.0,,,Male
884,885,"Hughes, Joe",GB,140,1.0,3.0,,"O'Kane, Andy",Male
885,886,"Imam, Amir",US,140,1.0,4.0,,"Centeno, Javiel",Male
886,887,"Johnson, Kevin",US,140,1.0,3.0,Mayweather,"Pimpleton, Otis",Male
887,888,"Joyce, David Oliver",IE,122,1.0,3.0,MTK Global,"Taylor, Pete",Male
888,889,"Kalitskiy, Stanislav",KZ,130,1.0,3.0,RCC,,Male
889,890,"Kaminsky, David",IL,160,1.0,3.0,,"Kaminsky, Tolik",Male
890,891,"Kautondokwa, Walter",NA,160,1.0,3.0,,"Tobias, Nestor",Male
891,892,"Keeler, Luke",IE,160,1.0,3.0,MTK Global,"Taylor, Pete",Male
892,893,"Khamukov, Petr",RU,160,1.0,3.0,,"Suluki, Shadeed",Male
893,894,"Kharsan, Iskander",KZ,122,1.0,3.0,,"Mussakhanov, Sagatbek",Male
894,895,"Khatchikian, Gevorg",NL,160,1.0,2.0,,"Driessen, Patrick",Male
895,896,"Khegai, Arnold ",UA,122,1.0,3.0,,"Somodio, Marvin",Male
896,897,"Khytrov, Ievgen",UA,168,1.0,3.0,DiBella,"Rozier, Andre",Male
897,898,"Kokietgym, Petchbarngborn",TH,118,1.0,3.0,,,Male
898,899,"Kudryashov, Dmitriy",RU,200,1.0,3.0,,"Nikolay, Timofeev",Male
899,900,"Leapai, Alex",AU,HWT,1.0,1.0,,"Thornberry, Noel",Male
900,901,"LesPierre, Mikkel",US,140,1.0,2.0,DiBella,"Guzman, Joan",Male
901,902,"Light, David",NZ,200,1.0,3.0,,"Peach, Isaac",Male
902,903,"Lopez, Ganigan",MX,112,1.0,3.0,All Star Boxing,,Male
903,904,"Lopez, Marcelino ",AR,140,1.0,4.0,,"Diaz, Joel",Male
904,905,"Lopez, Melvin",NI,118,1.0,4.0,M&amp;R,"Herrera, Gustavo",Male
905,906,"Lowe, Isaac",GB,126,1.0,3.0,MTK Global,"Davison, Ben",Male
906,907,"Luis, Tony ",CA,140,1.0,3.0,Liveco,"Luis, Jorge",Male
907,908,"MacIntyre, Craig",GB,140,1.0,3.0,MTK Global,"Lynch, Peter",Male
908,909,"Maderna, Ezequiel Osvaldo ",AR,168,1.0,2.0,Argentina Boxing,,Male
909,910,"Madiyev, Ruslan",KZ,140,1.0,3.0,,"Diaz, Joel",Male
910,911,"Manzanilla, Franklin",VE,122,1.0,3.0,,,Male
911,912,"Marriaga, Miguel",CO,130,1.0,3.0,,"Gomez, Samuel",Male
912,913,"Martinez, Abram",US,140,1.0,3.0,,"Salas, Ismael",Male
913,914,"Massey, Jack",GB,200,1.0,2.0,Queensberry,"Rimmer, Robert",Male
914,915,"Mattice, Thomas",US,130,1.0,3.0,GH3,"Davis, Marlon",Male
915,916,"Matyja, Marek",PL,175,1.0,3.0,Knockout Promotions,"Wilczewski, Piotr",Male
916,917,"Maxwell, Sam ",GB,140,1.0,3.0,Queensberry,"Vaughan, Danny",Male
917,918,"May, Nathaniel",AU,126,1.0,3.0,,,Male
918,919,"McCann, Dennis",GB,118,1.0,3.0,Queensberry,"Smith, Alan",Male
919,920,"McCullagh, Tyrone",GB,126,1.0,2.0,MTK Global,"Taylor, Pete",Male
920,921,"Mejia, Sergio",MX,108,1.0,4.0,All Star Boxing,,Male
921,922,"Melian, Alberto ",AR,122,1.0,4.0,,,Male
922,923,"Mioletti, Giovanni",US,130,1.0,3.0,Banner,"Nocita, John",Male
923,924,"Molina, Javier",US,140,1.0,3.0,,"Luna, Roberto",Male
